Date,Close BP,High BP,Low BP,Open BP,Volume BP,Close,Open,High,Low,Volume,ATR
2016-12-14,21.920074462890625,22.443430297911846,21.91398763423506,22.3582332682935,5699800,569.98,569.98,569.98,569.98,0.0,203.46714285714285
2016-12-15,21.816617965698242,21.871387813102334,21.4880012027185,21.567111398956225,5093100,509.31,509.31,509.31,509.31,0.0,190.97571428571428
2016-12-16,22.266944885253906,22.352141897559754,21.993095687524775,22.0356941936777,5517100,551.71,551.71,551.71,551.71,0.0,168.78214285714284
2016-12-19,22.248693466186523,22.38257351721837,22.24260663755852,22.291291980802782,4582000,458.2,458.2,458.2,458.2,0.0,172.1
2016-12-20,22.22435188293457,22.394745949744145,22.20000921012033,22.303464408858325,4354700,435.47,435.47,435.47,435.47,0.0,131.70071428571427
2016-12-21,22.382566452026367,22.46776345436594,22.315625286918355,22.431251779902812,4440500,444.05,444.05,444.05,444.05,0.0,103.86785714285713
2016-12-22,22.461679458618164,22.61990213491728,22.44342362097249,22.50427796075424,7860500,786.05,786.05,786.05,786.05,0.0,109.75
2016-12-23,22.528627395629883,22.54688323876187,22.382573686239116,22.419087693948047,3652900,365.29,365.29,365.29,365.29,0.0,136.26357142857142
2016-12-27,22.583393096923828,22.656418777478756,22.571221763257252,22.577306269368275,3725600,372.56,372.56,372.56,372.56,0.0,131.9485714285714
2016-12-28,22.66858673095703,22.802469059881197,22.62598823019828,22.711185231715778,6133400,613.34,613.34,613.34,613.34,0.0,144.72071428571428
2016-12-29,22.759870529174805,22.83898070394028,22.723356533667847,22.814640361713153,5015300,501.53,501.53,501.53,501.53,0.0,146.28428571428572
2016-12-30,22.747703552246094,22.924182094038336,22.717276377553958,22.80247339526979,5043900,504.39,504.39,504.39,504.39,0.0,143.1
2017-01-03,23.125,23.198025665785135,22.997204504514993,23.18585433458027,8779200,877.92,877.92,877.92,877.92,0.0,142.75571428571428
2017-01-04,23.301483154296875,23.331910324634748,23.088488319043186,23.15542948665308,6883300,688.33,688.33,688.33,688.33,0.0,149.7842857142857
2017-01-05,23.471879959106445,23.538821134684074,23.21020208445457,23.21020208445457,6505700,650.57,650.57,650.57,650.57,0.0,139.58928571428572
2017-01-06,23.07023811340332,23.24063216605015,23.03372410721692,23.222376323679377,5800900,580.09,580.09,580.09,580.09,0.0,140.29
2017-01-09,22.705106735229492,22.912014788575977,22.705106735229492,22.869416276543888,5533600,553.36,553.36,553.36,553.36,0.0,139.17071428571427
2017-01-10,22.583393096923828,22.79030112636656,22.583393096923828,22.66859011114533,3922000,392.2,392.2,392.2,392.2,0.0,144.00285714285715
2017-01-11,22.851152420043945,22.91809358554364,22.552962910110683,22.63815991294876,4422600,442.26,442.26,442.26,442.26,0.0,145.95499999999998
2017-01-12,22.978952407836914,23.12500609937388,22.918098057205906,23.118921592888647,4698500,469.85,469.85,469.85,469.85,0.0,147.31285714285715
2017-01-13,22.91809844970703,23.039809474498178,22.857244098033814,23.015466805251005,3814700,381.47,381.47,381.47,381.47,0.0,129.19714285714286
2017-01-17,22.784217834472656,22.89984436152582,22.662509121809162,22.869417183359946,6172800,617.28,617.28,617.28,617.28,0.0,115.98642857142856
2017-01-18,22.577306747436523,22.753787607172015,22.52253690549946,22.625992083133724,5894200,589.42,589.42,589.42,589.42,0.0,117.45714285714287
2017-01-19,22.455591201782227,22.595558017052785,22.36430738591523,22.52253003578164,5074200,507.42,507.42,507.42,507.42,0.0,106.11571428571428
2017-01-20,22.419084548950195,22.589478584798716,22.370399212167975,22.583394078423254,5696300,569.63,569.63,569.63,569.63,0.0,102.57285714285715
2017-01-23,22.285200119018555,22.3643126232003,22.10263476597519,22.27302878595641,5470400,547.04,547.04,547.04,547.04,0.0,103.98214285714286
2017-01-24,22.461679458618164,22.510364787598974,22.23651561569256,22.23651561569256,6519300,651.93,651.93,651.93,651.93,0.0,84.79357142857143
2017-01-25,22.534706115722656,22.595562779608947,22.449509107726215,22.57730461972088,3977400,397.74,397.74,397.74,397.74,0.0,89.40785714285714
2017-01-26,22.358226776123047,22.54687662365819,22.26694294435527,22.492106788886378,4450100,445.01,445.01,445.01,445.01,0.0,90.08714285714284
2017-01-27,22.260866165161133,22.30346468238595,22.18175363826715,22.23043666304762,4242000,424.2,424.2,424.2,424.2,0.0,86.53928571428571
2017-01-30,21.88355827331543,21.98701345714017,21.743591406977608,21.962670787834966,7529400,752.94,752.94,752.94,752.94,0.0,108.11142857142856
2017-01-31,21.895729064941406,21.999184246200397,21.743590867724098,21.944414402344382,5467400,546.74,546.74,546.74,546.74,0.0,111.32857142857142
2017-02-01,21.90181541442871,22.02961094015304,21.7922757291094,22.017439606068162,7160600,716.06,716.06,716.06,716.06,0.0,119.84714285714286
2017-02-02,21.780101776123047,21.901812780892364,21.634048106111003,21.828784785164178,7642600,764.26,764.26,764.26,764.26,0.0,121.31928571428571
2017-02-03,21.859216690063477,22.01135489861273,21.786190999964386,21.859216690063473,5070400,507.04,507.04,507.04,507.04,0.0,133.37928571428571
2017-02-06,21.798358917236328,21.85921326253613,21.700990571889967,21.792274411284136,5848000,584.8,584.8,584.8,584.8,0.0,122.08999999999999
2017-02-07,20.922042846679688,21.232403707742844,20.782076001773216,21.159378032453457,17843200,1784.32,1784.32,1784.32,1784.32,0.0,205.77999999999997
2017-02-08,20.952468872070312,20.970724709533183,20.6907910350294,20.794243875911317,8322900,832.29,832.29,832.29,832.29,0.0,267.925
2017-02-09,20.95855712890625,21.244577681390325,20.940301288175657,20.9524726224776,8940000,894.0,894.0,894.0,894.0,0.0,267.8892857142857
2017-02-10,21.013322830200195,21.122862495879566,20.95855299736051,21.086350821615902,6389800,638.98,638.98,638.98,638.98,0.0,284.49142857142857
2017-02-13,21.092437744140625,21.12895174403316,21.0072407325025,21.037667905024048,6899200,689.92,689.92,689.92,689.92,0.0,280.6378571428571
2017-02-14,21.043758392333984,21.062014234733088,20.915960531205684,21.049842899318733,8026500,802.65,802.65,802.65,802.65,0.0,270.5335714285714
2017-02-15,20.93227767944336,20.994208913921927,20.876540749630166,20.93227767944336,7675100,767.51,767.51,767.51,767.51,0.0,269.6671428571429
2017-02-16,20.857967376708984,21.11807153427316,20.83319487719747,20.988019455491074,7511200,751.12,751.12,751.12,751.12,0.0,269.3514285714286
2017-02-17,20.69694709777832,20.783650840226606,20.64121252128613,20.76507028562712,6428300,642.83,642.83,642.83,642.83,0.0,253.605
2017-02-21,20.950857162475586,21.124259885301672,20.895120235505072,21.08090920459515,8189100,818.91,818.91,818.91,818.91,0.0,251.4535714285714
2017-02-22,20.690752029418945,20.870349067996766,20.672173840060918,20.76506714928612,6011100,601.11,601.11,601.11,601.11,0.0,254.91642857142853
2017-02-23,20.969440460205078,21.11187878329609,20.919895463076642,21.012791151474712,6922500,692.25,692.25,692.25,692.25,0.0,257.9835714285714
2017-02-24,20.74648666381836,20.839382325197437,20.69694168110024,20.796031646536484,6159800,615.98,615.98,615.98,615.98,0.0,245.0585714285714
2017-02-27,21.043752670288086,21.080911412972718,20.820804939050642,20.86415562429846,8594100,859.41,859.41,859.41,859.41,0.0,256.89214285714286
2017-02-28,21.006595611572266,21.0809131028991,20.96324492284929,21.000403668512707,7412700,741.27,741.27,741.27,741.27,0.0,179.65071428571426
2017-03-01,21.198579788208008,21.341018108761652,21.18000159583354,21.272894920141333,7408300,740.83,740.83,740.83,740.83,0.0,111.67999999999996
2017-03-02,21.13045883178711,21.28528341775772,21.11188063745006,21.173809526864027,5373400,537.34,537.34,537.34,537.34,0.0,121.80714285714284
2017-03-03,21.111875534057617,21.20477120815851,21.080911096835695,21.136648028809205,5265900,526.59,526.59,526.59,526.59,0.0,104.35928571428569
