Date,Close GLD,High GLD,Low GLD,Open GLD,Volume GLD,Close,Open,High,Low,Volume,ATR
2023-04-03,184.5399932861328,185.0399932861328,183.32000732421875,183.85000610351562,9206600,920.66,920.66,920.66,920.66,0.0,339.60857142857145
2023-04-04,187.97999572753906,188.22999572753906,184.66000366210938,184.72000122070312,13765400,1376.54,1376.54,1376.54,1376.54,0.0,339.83500000000004
2023-04-05,187.8300018310547,188.86000061035156,186.77999877929688,188.33999633789062,11440800,1144.08,1144.08,1144.08,1144.08,0.0,329.4114285714286
2023-04-06,186.49000549316406,187.25999450683594,185.9499969482422,186.88999938964844,6648400,664.84,664.84,664.84,664.84,0.0,267.9707142857143
2023-04-10,185.11000061035156,185.36000061035156,184.19000244140625,185.17999267578125,6408100,640.81,640.81,640.81,640.81,0.0,181.7542857142857
2023-04-11,186.27999877929688,186.50999450683594,185.63999938964844,185.91000366210938,6031500,603.15,603.15,603.15,603.15,0.0,176.50714285714284
2023-04-12,187.19000244140625,187.66000366210938,185.97000122070312,187.5399932861328,10000900,1000.09,1000.09,1000.09,1000.09,0.0,196.03785714285715
2023-04-13,189.72000122070312,190.41000366210938,188.99000549316406,189.75999450683594,14060100,1406.01,1406.01,1406.01,1406.01,0.0,220.58571428571426
2023-04-14,186.36000061035156,188.49000549316406,185.1699981689453,188.0800018310547,13272500,1327.25,1327.25,1327.25,1327.25,0.0,211.20285714285714
2023-04-17,185.52999877929688,185.92999267578125,184.10000610351562,185.88999938964844,7468100,746.81,746.81,746.81,746.81,0.0,236.085
2023-04-18,186.25,186.99000549316406,185.0399932861328,185.24000549316406,8056900,805.69,805.69,805.69,805.69,0.0,235.13071428571428
2023-04-19,185.36000061035156,185.5800018310547,184.27999877929688,184.35000610351562,7373500,737.35,737.35,737.35,737.35,0.0,231.39714285714288
2023-04-20,186.08999633789062,187.02999877929688,185.77999877929688,186.13999938964844,5789900,578.99,578.99,578.99,578.99,0.0,232.96714285714285
2023-04-21,184.25,185.67999267578125,183.22000122070312,184.97999572753906,10698700,1069.87,1069.87,1069.87,1069.87,0.0,256.2942857142857
2023-04-24,184.80999755859375,185.02999877929688,183.4600067138672,184.07000732421875,8303400,830.34,830.34,830.34,830.34,0.0,264.8085714285714
2023-04-25,185.75,186.22000122070312,184.3000030517578,184.83999633789062,8451900,845.19,845.19,845.19,845.19,0.0,233.30642857142857
2023-04-26,184.74000549316406,186.64999389648438,184.3000030517578,186.6300048828125,8203600,820.36,820.36,820.36,820.36,0.0,218.47571428571428
2023-04-27,184.75,184.99000549316406,183.3800048828125,183.89999389648438,9107400,910.74,910.74,910.74,910.74,0.0,190.70000000000002
2023-04-28,184.8000030517578,185.3800048828125,184.1699981689453,184.7899932861328,6700400,670.04,670.04,670.04,670.04,0.0,206.1764285714286
2023-05-01,183.97000122070312,186.22000122070312,183.91000366210938,186.0500030517578,7997700,799.77,799.77,799.77,799.77,0.0,212.75285714285715
2023-05-02,187.52000427246094,187.63999938964844,184.52000427246094,184.64999389648438,14680600,1468.06,1468.06,1468.06,1468.06,0.0,232.135
2023-05-03,189.11000061035156,189.2100067138672,186.92999267578125,187.61000061035156,11133800,1113.38,1113.38,1113.38,1113.38,0.0,228.475
2023-05-04,190.44000244140625,191.36000061035156,188.80999755859375,188.86000061035156,14146800,1414.68,1414.68,1414.68,1414.68,0.0,244.37071428571426
2023-05-05,187.4600067138672,187.5800018310547,185.77000427246094,186.55999755859375,12508100,1250.81,1250.81,1250.81,1250.81,0.0,214.6157142857143
2023-05-08,187.69000244140625,188.6699981689453,187.49000549316406,187.82000732421875,6075400,607.54,607.54,607.54,607.54,0.0,256.35785714285714
2023-05-09,189.02000427246094,189.3300018310547,188.07000732421875,188.1199951171875,7098800,709.88,709.88,709.88,709.88,0.0,258.78642857142853
2023-05-10,188.75,189.63999938964844,187.82000732421875,188.97999572753906,9392100,939.21,939.21,939.21,939.21,0.0,263.85571428571427
2023-05-11,187.1300048828125,188.80999755859375,186.86000061035156,188.44000244140625,8245500,824.55,824.55,824.55,824.55,0.0,236.98285714285717
2023-05-12,186.80999755859375,187.9199981689453,186.5800018310547,187.42999267578125,7087500,708.75,708.75,708.75,708.75,0.0,228.145
2023-05-15,187.2100067138672,187.8800048828125,187.02999877929688,187.3000030517578,5518100,551.81,551.81,551.81,551.81,0.0,238.29428571428573
2023-05-16,184.8699951171875,186.82000732421875,184.4600067138672,186.5800018310547,9519500,951.95,951.95,951.95,951.95,0.0,265.1021428571429
2023-05-17,184.22999572753906,184.4499969482422,183.47999572753906,184.30999755859375,7474300,747.43,747.43,747.43,747.43,0.0,273.255
2023-05-18,181.83999633789062,182.27999877929688,181.33999633789062,182.10000610351562,8812600,881.26,881.26,881.26,881.26,0.0,265.62142857142857
2023-05-19,183.63999938964844,184.33999633789062,181.80999755859375,182.25,8435000,843.5,843.5,843.5,843.5,0.0,259.0521428571429
2023-05-22,183.2100067138672,183.83999633789062,182.91000366210938,183.22000122070312,4834300,483.43,483.43,483.43,483.43,0.0,237.0364285714286
2023-05-23,183.42999267578125,183.75999450683594,182.47999572753906,182.77999877929688,6345000,634.5,634.5,634.5,634.5,0.0,222.4928571428572
2023-05-24,181.9499969482422,183.5399932861328,181.77000427246094,183.5399932861328,6732900,673.29,673.29,673.29,673.29,0.0,203.74214285714288
2023-05-25,180.1999969482422,181.30999755859375,180.10000610351562,181.17999267578125,6919200,691.92,691.92,691.92,691.92,0.0,193.3678571428572
2023-05-26,180.9199981689453,181.3000030517578,180.08999633789062,181.00999450683594,5823700,582.37,582.37,582.37,582.37,0.0,155.24500000000003
2023-05-30,182.0399932861328,182.39999389648438,181.1699981689453,181.72000122070312,4906100,490.61,490.61,490.61,490.61,0.0,154.48928571428573
2023-05-31,182.32000732421875,183.4499969482422,182.10000610351562,182.38999938964844,8497900,849.79,849.79,849.79,849.79,0.0,163.76428571428573
2023-06-01,183.75999450683594,184.2100067138672,182.72000122070312,182.80999755859375,7300500,730.05,730.05,730.05,730.05,0.0,164.12714285714284
2023-06-02,181.0500030517578,183.55999755859375,180.9600067138672,183.52999877929688,8726100,872.61,872.61,872.61,872.61,0.0,166.03857142857143
2023-06-05,182.13999938964844,182.44000244140625,180.60000610351562,180.7899932861328,5748800,574.88,574.88,574.88,574.88,0.0,176.095
2023-06-06,182.33999633789062,182.64999389648438,181.52000427246094,182.36000061035156,4967200,496.72,496.72,496.72,496.72,0.0,153.09642857142856
