Date,Close LDOS,High LDOS,Low LDOS,Open LDOS,Volume LDOS,Close,Open,High,Low,Volume,ATR
2019-11-01,78.67503356933594,80.27932733946474,78.57361201154444,79.51405814317285,936100,936.1,936.1,936.1,936.1,0.0,415.2428571428572
2019-11-04,79.08995819091797,79.29280136642475,78.34313289416374,78.82257464451109,1225800,1225.8,1225.8,1225.8,1225.8,0.0,393.72857142857146
2019-11-05,76.69273376464844,79.5048649400708,76.30549154735598,79.15449690448675,1368700,1368.7,1368.7,1368.7,1368.7,0.0,403.7
2019-11-06,78.49063873291016,78.64738563917717,76.23171906222393,76.62818328984658,1302600,1302.6,1302.6,1302.6,1302.6,0.0,401.85
2019-11-07,79.29280853271484,79.57862919619372,78.62896063810399,78.98854374195595,940500,940.5,940.5,940.5,940.5,0.0,424.25
2019-11-08,80.39920043945312,80.39920043945312,79.02540868376455,79.08072698546266,962100,962.1,962.1,962.1,962.1,0.0,424.65000000000003
2019-11-11,80.83253479003906,81.13679947632434,79.66158634726538,79.66158634726538,1131500,1131.5,1131.5,1131.5,1131.5,0.0,420.3285714285715
2019-11-12,82.06804656982422,82.13258693693842,80.66658854909825,80.66658854909825,954400,954.4,954.4,954.4,954.4,0.0,418.3071428571429
2019-11-13,82.5105972290039,83.15600785748293,81.69000964462235,81.99427435371797,779800,779.8,779.8,779.8,779.8,0.0,424.56428571428575
2019-11-14,83.38652038574219,83.42340160055895,82.31698625917373,82.6304730679299,492700,492.7,492.7,492.7,492.7,0.0,441.24285714285713
2019-11-15,83.93051147460938,84.32697578342632,83.36808519851154,83.77377157061443,814200,814.2,814.2,814.2,814.2,0.0,437.15714285714284
2019-11-18,84.2624282836914,85.21209672501348,83.49715888625558,83.49715888625558,846600,846.6,846.6,846.6,846.6,0.0,300.34285714285716
2019-11-19,84.5574722290039,85.21209798919628,84.46527270569294,84.59435344520284,994600,994.6,994.6,994.6,994.6,0.0,175.15714285714284
2019-11-20,84.51136779785156,84.70498888836018,83.68155809969177,84.23476222034095,667300,667.3,667.3,667.3,667.3,0.0,197.90000000000003
2019-11-21,83.02694702148438,84.81564042537325,82.99928083136449,84.41917611280091,716200,716.2,716.2,716.2,716.2,0.0,183.47857142857146
2019-11-22,81.59780883789062,83.30352433892705,81.06304184878299,83.05458496640948,1120500,1120.5,1120.5,1120.5,1120.5,0.0,191.66428571428574
2019-11-25,83.00849914550781,83.082261580416,81.6715884260685,81.76378795251725,1005900,1005.9,1005.9,1005.9,1005.9,0.0,189.64285714285717
2019-11-26,83.63549041748047,83.68159371147611,82.98086444211766,82.9993015390909,897300,897.3,897.3,897.3,897.3,0.0,192.67857142857142
2019-11-27,83.88440704345703,83.94894741141586,83.21133717670986,83.88440704345703,529800,529.8,529.8,529.8,529.8,0.0,193.06428571428572
2019-11-29,83.75532531738281,84.07803421483786,83.33120186385031,83.83830981610278,278800,278.8,278.8,278.8,278.8,0.0,209.45000000000002
2019-12-02,82.84253692626953,83.65390963898794,81.88364637856694,83.57092514138131,763200,763.2,763.2,763.2,763.2,0.0,231.95000000000002
2019-12-03,82.6673583984375,82.80565416791997,81.49640263141869,81.80066739302573,1127400,1127.4,1127.4,1127.4,1127.4,0.0,245.31428571428575
2019-12-04,82.74111938476562,83.6815728869908,82.16947807397511,82.78722266728829,824900,824.9,824.9,824.9,824.9,0.0,254.45000000000002
2019-12-05,82.93473815917969,83.13758134153369,82.43685930078563,82.90707900419926,523100,523.1,523.1,523.1,523.1,0.0,255.5
2019-12-06,83.60780334472656,83.76454323698847,82.3630922004815,83.4141822364549,727500,727.5,727.5,727.5,727.5,0.0,247.1357142857143
2019-12-09,83.07304382324219,83.96739404833363,83.054606730746,83.52482645031863,934100,934.1,934.1,934.1,934.1,0.0,259.5785714285714
2019-12-10,82.64892578125,83.43263239972553,82.5198450221775,83.18369294562109,471200,471.2,471.2,471.2,471.2,0.0,282.0714285714286
2019-12-11,84.89862823486328,84.94472448477923,82.1694812230153,84.00427798088594,1395800,1395.8,1395.8,1395.8,1395.8,0.0,324.7357142857143
2019-12-12,84.0780258178711,84.73265154170868,83.36807475562125,84.73265154170868,1218000,1218.0,1218.0,1218.0,1218.0,0.0,333.9428571428571
2019-12-13,84.99425506591797,85.17935132859054,83.31917448775884,83.84668648014986,573800,573.8,573.8,573.8,573.8,0.0,351.0785714285715
2019-12-16,84.80912780761719,85.6050237282164,84.58701945277706,85.54949840468068,1403300,1403.3,1403.3,1403.3,1403.3,0.0,402.14285714285717
2019-12-17,84.70734405517578,85.17933058416851,84.20759485871856,84.79063911826803,586600,586.6,586.6,586.6,586.6,0.0,452.72142857142853
2019-12-18,88.54801177978516,88.93670327949918,86.40094489379895,86.49348948029763,1944700,1944.7,1944.7,1944.7,1944.7,0.0,523.4785714285714
2019-12-19,89.10326385498047,89.35314194218535,87.32638282446887,88.32588105189323,1337500,1337.5,1337.5,1337.5,1337.5,0.0,548.9214285714286
2019-12-20,90.70433044433594,90.72283653637695,89.09402506950755,89.99172233852477,2215000,2215.0,2215.0,2215.0,2215.0,0.0,577.0
2019-12-23,90.52845001220703,91.30583968098306,89.9824322842501,91.05596165646027,731500,731.5,731.5,731.5,731.5,0.0,656.9499999999999
2019-12-24,90.72280883789062,91.00969907147953,90.29709824393078,90.29709824393078,249500,249.5,249.5,249.5,249.5,0.0,669.7714285714285
2019-12-26,91.18555450439453,91.39841336869677,90.64878611676112,90.64878611676112,509700,509.7,509.7,509.7,509.7,0.0,666.8
2019-12-27,90.90792083740234,91.36139417027191,90.29711396967357,91.35213759511593,595900,595.9,595.9,595.9,595.9,0.0,658.3571428571429
2019-12-30,90.75984954833984,90.89866994156056,89.8899150074753,90.81537488134873,608600,608.6,608.6,608.6,608.6,0.0,644.5071428571428
2019-12-31,90.59325408935547,91.3521307996383,90.29710725267675,90.4266710524301,625600,625.6,625.6,625.6,625.6,0.0,612.6571428571427
2020-01-02,91.26885223388672,91.28735832403449,90.52848153540717,91.10226917976374,793600,793.6,793.6,793.6,793.6,0.0,558.6142857142856
2020-01-03,92.06474304199219,92.42567179533863,90.14904155857732,90.26934878946018,1031000,1031.0,1031.0,1031.0,1031.0,0.0,562.8714285714285
2020-01-06,92.87911987304688,92.9531583307133,91.32434756553174,91.62049433550149,799500,799.5,799.5,799.5,799.5,0.0,533.3928571428571
2020-01-07,92.53672790527344,93.2585854545113,92.26834370299557,92.46269648381956,483900,483.9,483.9,483.9,483.9,0.0,496.68571428571425
2020-01-08,92.42567443847656,93.54547996943369,92.3701420481982,92.53672509763716,1058400,1058.4,1058.4,1058.4,1058.4,0.0,479.38571428571424
2020-01-09,93.54547119140625,93.89714334691172,92.31460805609099,92.40715261694007,762700,762.7,762.7,762.7,762.7,0.0,403.5
2020-01-10,93.48993682861328,94.05446781675698,93.40664884382024,93.90639793467025,533800,533.8,533.8,533.8,533.8,0.0,376.4785714285714
2020-01-13,93.61026000976562,94.23031638005635,93.31411315673887,93.85088153431796,869600,869.6,869.6,869.6,869.6,0.0,337.7857142857143
2020-01-14,93.27709197998047,93.99894947794522,93.22156665265942,93.88789176260535,604500,604.5,604.5,604.5,604.5,0.0,250.7571428571429
2020-01-15,94.52647399902344,94.78560164234754,93.24934187376951,93.58250800395727,898800,898.8,898.8,898.8,898.8,0.0,237.35
2020-01-16,94.6653060913086,95.02623493348332,93.98971717144074,94.96145301464938,592700,592.7,592.7,592.7,592.7,0.0,240.62857142857143
2020-01-17,95.68329620361328,95.75733468840703,94.49870868970727,94.7763494773346,683100,683.1,683.1,683.1,683.1,0.0,240.92857142857147
2020-01-21,95.5722427368164,95.96094126896168,95.18355126537,95.25758975346422,631300,631.3,631.3,631.3,631.3,0.0,243.7214285714286
2020-01-22,94.83186340332031,96.58098179715603,94.53571656046712,96.25707229101936,932600,932.6,932.6,932.6,932.6,0.0,264.0285714285714
2020-01-23,94.97994232177734,95.16503852908913,93.9989571354691,94.90591089955097,791000,791.0,791.0,791.0,791.0,0.0,262.14285714285717
2020-01-24,94.04522705078125,95.27608321384663,93.63802248094728,95.1280133179875,625300,625.3,625.3,625.3,625.3,0.0,257.0214285714286
2020-01-27,93.25859069824219,93.8138722849074,91.8981705808687,92.68481008104618,604100,604.1,604.1,604.1,604.1,0.0,242.0
2020-01-28,94.68378448486328,95.14651435850362,93.43441523817387,93.72130550040767,511700,511.7,511.7,511.7,511.7,0.0,226.05714285714288
