Date,Close NEM,High NEM,Low NEM,Open NEM,Volume NEM,Close,Open,High,Low,Volume,ATR
2023-03-14,41.88861083984375,42.383397399514294,41.30047376815233,42.29003976503418,11233500,1123.35,1123.35,1123.35,1123.35,0.0,227.79214285714284
2023-03-15,43.04621505737305,43.06488658187413,41.935282497548435,42.756811769450074,14169500,1416.95,1416.95,1416.95,1416.95,0.0,235.3457142857143
2023-03-16,42.7381477355957,43.13957667965379,41.720572619927715,43.13957667965379,10056300,1005.63,1005.63,1005.63,1005.63,0.0,262.0414285714286
2023-03-17,44.96934509277344,45.454794146592384,43.14891559248978,43.55967853284585,27337100,2733.71,2733.71,2733.71,2733.71,0.0,378.7935714285714
2023-03-20,44.64259338378906,45.73485442827492,44.51189627241433,45.47345664429628,10192000,1019.2,1019.2,1019.2,1019.2,0.0,495.5657142857143
2023-03-21,43.503658294677734,44.026450337294044,42.85017269294415,43.99844482899959,7673300,767.33,767.33,767.33,767.33,0.0,495.07071428571425
2023-03-22,43.54100036621094,44.29718112420046,43.04621740425879,43.46631782536409,8653600,865.36,865.36,865.36,865.36,0.0,495.38642857142855
2023-03-23,44.614585876464844,45.370763004426905,43.80239061581288,43.92375374003025,9543400,954.34,954.34,954.34,954.34,0.0,500.8828571428571
2023-03-24,45.3240966796875,45.94958041108616,44.53057631667907,44.97868231050817,9364300,936.43,936.43,936.43,936.43,0.0,501.4164285714286
2023-03-27,45.00667953491211,45.072028091069,43.961099075172655,44.16648228665386,6274400,627.44,627.44,627.44,627.44,0.0,499.8785714285714
2023-03-28,45.426780700683594,45.4734577328306,44.689271484581354,45.1840579967816,4884800,488.48,488.48,488.48,488.48,0.0,492.605
2023-03-29,45.1280517578125,45.5574862308597,44.84798595196562,45.184066343473845,5235500,523.55,523.55,523.55,523.55,0.0,484.5685714285714
2023-03-30,45.59482192993164,45.641498963168445,45.034690408631214,45.61349345547223,7453200,745.32,745.32,745.32,745.32,0.0,481.9992857142857
2023-03-31,45.76285934448242,45.78153086889933,45.24940488731935,45.66016774080398,5832500,583.25,583.25,583.25,583.25,0.0,429.83214285714286
2023-04-03,46.182960510253906,46.39767770278212,45.17471954231702,45.75352256396827,6309500,630.95,630.95,630.95,630.95,0.0,394.20428571428573
2023-04-04,47.938045501708984,48.1154232222976,45.87488990641568,46.00558703028338,14721000,1472.1,1472.1,1472.1,1472.1,0.0,433.315
2023-04-05,48.610206604003906,49.25435824597399,47.78867724000282,48.30213531827198,11767800,1176.78,1176.78,1176.78,1176.78,0.0,425.0292857142857
2023-04-06,48.591529846191406,48.69422145078977,47.64864100268034,48.17142944612046,8461300,846.13,846.13,846.13,846.13,0.0,325.2128571428571
2023-04-10,47.6953239440918,48.022066761732944,47.2938950188586,47.854026580880465,7611600,761.16,761.16,761.16,761.16,0.0,208.81714285714284
2023-04-11,46.60305404663086,47.685981036664344,46.40700839273678,46.491028467438376,11762400,1176.24,1176.24,1176.24,1176.24,0.0,220.47499999999997
2023-04-12,46.407005310058594,47.0604943408585,45.94956548135876,46.771091089170746,8678900,867.89,867.89,867.89,867.89,0.0,235.49785714285716
2023-04-13,47.629974365234375,48.04073726454553,47.06050527128808,47.284560028058415,11922200,1192.22,1192.22,1192.22,1192.22,0.0,252.30857142857144
2023-04-14,46.22964096069336,47.116518864108045,45.18406042719651,46.883130129589944,11924300,1192.43,1192.43,1192.43,1192.43,0.0,251.0442857142857
2023-04-17,45.24940490722656,45.7441878401904,45.0160161937562,45.73485385859241,8334600,833.46,833.46,833.46,833.46,0.0,254.61428571428573
2023-04-18,45.613487243652344,46.145613184789596,45.3240839790292,45.548138693774355,7582000,758.2,758.2,758.2,758.2,0.0,250.06428571428572
2023-04-19,45.05335998535156,45.389440334651496,44.726617179770784,44.8293087933046,6736000,673.6,673.6,673.6,673.6,0.0,253.60214285714284
2023-04-20,44.6986083984375,45.35209752298296,44.49322518640713,45.30541693026389,5513800,551.38,551.38,551.38,551.38,0.0,246.49142857142857
2023-04-21,44.45588684082031,44.96000738120422,44.00778088088893,44.51190142127284,5985400,598.54,598.54,598.54,598.54,0.0,238.28357142857143
2023-04-24,44.829307556152344,44.90399009769716,43.877081113157566,44.3345245895761,6084100,608.41,608.41,608.41,608.41,0.0,235.58142857142857
2023-04-25,44.997352600097656,45.37077247072785,44.409211941348616,44.49323203545562,7504000,750.4,750.4,750.4,750.4,0.0,185.64142857142858
2023-04-26,44.017120361328125,45.49213543250458,43.9797773060503,45.25874667886282,7558400,755.84,755.84,755.84,755.84,0.0,164.9357142857143
2023-04-27,45.06269836425781,45.07203234692048,43.456982692833286,43.71838050337212,7310400,731.04,731.04,731.04,731.04,0.0,143.08928571428572
2023-04-28,44.25050354003906,44.84797810429196,43.64369143252823,44.8013010716902,8037600,803.76,803.76,803.76,803.76,0.0,142.21428571428572
2023-05-01,43.811729431152344,44.754618263481,43.69036630340915,44.58657810544554,5527700,552.77,552.77,552.77,552.77,0.0,130.49357142857144
2023-05-02,44.86664962768555,45.268078518256516,43.61568592337284,43.63435744865862,8428400,842.84,842.84,842.84,842.84,0.0,129.18785714285718
2023-05-03,44.33452606201172,45.165389396207686,44.11980529001928,44.810637518707,7784200,778.42,778.42,778.42,778.42,0.0,110.62285714285716
2023-05-04,46.12694549560547,46.845783165237975,44.530567539511694,44.530567539511694,13356200,1335.62,1335.62,1335.62,1335.62,0.0,150.40785714285715
2023-05-05,45.48279571533203,45.99625019636729,44.98800919835247,45.38943808890697,7282400,728.24,728.24,728.24,728.24,0.0,168.15142857142857
2023-05-08,45.081363677978516,45.818872849724514,44.950666571335745,45.54814109383359,5524900,552.49,552.49,552.49,552.49,0.0,175.3292857142857
2023-05-09,44.95067596435547,45.33343338288954,44.6332671127982,45.08137309830908,4898600,489.86,489.86,489.86,489.86,0.0,173.76
2023-05-10,44.63326644897461,45.193398032225,44.1291458873114,45.12804946622011,5843100,584.31,584.31,584.31,584.31,0.0,171.77642857142857
2023-05-11,42.831504821777344,44.48389761550679,42.794161766711994,44.0918026597801,8191600,819.16,819.16,819.16,819.16,0.0,185.18285714285716
2023-05-12,42.887508392333984,42.934188983670765,42.43940249308808,42.5420940960624,6288400,628.84,628.84,628.84,628.84,0.0,198.07214285714284
2023-05-15,43.96110534667969,44.297185718420025,42.89685321032179,43.0835649236475,8343500,834.35,834.35,834.35,834.35,0.0,202.60928571428573
2023-05-16,42.12199401855469,43.643689427835135,42.06598300649706,43.428972238746226,8658600,865.86,865.86,865.86,865.86,0.0,204.47142857142856
2023-05-17,41.776580810546875,42.36472138111329,41.68322674719378,41.91661546680577,8409800,840.98,840.98,840.98,840.98,0.0,204.47714285714284
2023-05-18,40.39491653442383,41.132425679495256,40.02149319075429,40.983057054273225,10091500,1009.15,1009.15,1009.15,1009.15,0.0,211.29500000000002
2023-05-19,40.75901412963867,41.24446319238447,40.245559554444256,40.702999543511474,8346900,834.69,834.69,834.69,834.69,0.0,205.8285714285714
2023-05-22,40.45093536376953,40.852360692824746,40.45093536376953,40.759006627691775,6637300,663.73,663.73,663.73,663.73,0.0,197.32071428571427
2023-05-23,39.666748046875,40.15219344604967,39.62006745432851,39.90947074646234,9203900,920.39,920.39,920.39,920.39,0.0,211.05214285714283
2023-05-24,39.03193283081055,39.844124621215414,38.863892658833066,39.72276148340291,8473100,847.31,847.31,847.31,847.31,0.0,176.47214285714284
2023-05-25,37.93967056274414,38.46246258873903,37.91166505534008,38.43445352010565,10230700,1023.07,1023.07,1023.07,1023.07,0.0,145.64214285714283
2023-05-26,37.977020263671875,38.5371518772149,37.65027741597677,38.443797795367715,7046200,704.62,704.62,704.62,704.62,0.0,155.835
2023-05-30,37.71561813354492,38.53714385421155,37.65960355936025,38.406446742343185,8413300,841.33,841.33,841.33,841.33,0.0,161.12642857142856
2023-05-31,38.23420715332031,38.74336886122943,37.6684743202046,37.68733256088735,16137900,1613.79,1613.79,1613.79,1613.79,0.0,209.55571428571426
2023-06-01,40.0445671081543,40.33686090805229,38.4699378502647,38.507654339555536,13608300,1360.83,1360.83,1360.83,1360.83,0.0,210.84928571428574
2023-06-02,39.68625259399414,40.46884966717684,39.45053002063871,40.36513475624691,11465400,1146.54,1146.54,1146.54,1146.54,0.0,212.56142857142854
2023-06-05,39.52596664428711,40.119988645524586,39.20538733852273,39.318533187430255,7459900,745.99,745.99,745.99,745.99,0.0,226.49285714285716
2023-06-06,39.59197235107422,39.742834682145876,39.224242047047966,39.57311411008505,5477300,547.73,547.73,547.73,547.73,0.0,238.4035714285714
2023-06-07,39.507110595703125,39.997410455819605,39.195955026216815,39.60139820030055,7056500,705.65,705.65,705.65,705.65,0.0,247.90642857142853
2023-06-08,39.63911056518555,40.176557768639675,39.47881733780314,39.90311870811988,5894900,589.49,589.49,589.49,589.49,0.0,244.1914285714286
2023-06-09,39.09223937988281,39.61082843701514,38.931949720903035,39.53539906715461,5601300,560.13,560.13,560.13,560.13,0.0,233.82714285714286
2023-06-12,39.63911056518555,39.667396124259604,38.92251189601925,39.035661325997836,6618100,661.81,661.81,661.81,661.81,0.0,228.87857142857143
2023-06-13,40.016265869140625,40.11998438497549,39.68625567952179,39.83711799432487,7955900,795.59,795.59,795.59,795.59,0.0,220.10142857142858
2023-06-14,39.6956901550293,40.544293076768206,39.30910517886868,40.544293076768206,6489500,648.95,648.95,648.95,648.95,0.0,225.35571428571433
2023-06-15,40.26142501831055,40.35571262945425,39.44111129146654,39.686261238545256,6959800,695.98,695.98,695.98,695.98,0.0,216.16071428571428
2023-06-16,41.3268928527832,41.411749545864915,40.431146147332605,40.714012581463884,17163300,1716.33,1716.33,1716.33,1716.33,0.0,266.2964285714285
2023-06-20,40.638572692871094,40.78943500517047,40.14827287552907,40.62914537197043,9050100,905.01,905.01,905.01,905.01,0.0,314.4828571428571
2023-06-21,40.14827346801758,40.51600013487145,39.86540348104571,40.50656921699036,5940600,594.06,594.06,594.06,594.06,0.0,281.5178571428571
2023-06-22,39.742835998535156,40.0257024290586,39.554257179238924,39.62968654885233,6948700,694.87,694.87,694.87,694.87,0.0,270.65
2023-06-23,39.20539093017578,40.072848512671804,39.12995795943247,39.69569085263927,8226900,822.69,822.69,822.69,822.69,0.0,264.4735714285714
2023-06-26,40.30856704711914,40.412285572910484,39.063951931306306,39.33739102714864,8477000,847.7,847.7,847.7,847.7,0.0,237.64928571428572
2023-06-27,40.03512191772461,40.31798829289925,39.51653296376425,40.20484246219761,6316300,631.63,631.63,631.63,631.63,0.0,238.92142857142855
2023-06-28,38.82823181152344,39.761691409932546,38.76222976302348,39.64854555491002,7532000,753.2,753.2,753.2,753.2,0.0,236.32500000000002
2023-06-29,39.55425262451172,39.5825381852544,38.39449787512371,38.46992723605132,6104000,610.4,610.4,610.4,610.4,0.0,238.22785714285718
2023-06-30,40.22370147705078,40.28027619191491,39.36567141757138,39.61082132163356,7215800,721.58,721.58,721.58,721.58,0.0,244.07214285714286
2023-07-03,40.582008361816406,40.94030416543271,40.27085276742968,40.40285686316641,3675100,367.51,367.51,367.51,367.51,0.0,262.1
2023-07-05,39.742835998535156,40.60086620933328,39.71454683769354,40.54429148449187,9618500,961.85,961.85,961.85,961.85,0.0,294.9971428571429
2023-07-06,39.16767501831055,39.69569143387708,38.70565705784776,39.573118249887465,8318700,831.87,831.87,831.87,831.87,0.0,293.8071428571429
