Date,Close NVDA,High NVDA,Low NVDA,Open NVDA,Volume NVDA,Close,Open,High,Low,Volume,ATR
2022-07-11,15.12932300567627,15.503761757468185,15.01549330517654,15.502762850377351,437321000,437.321,437.321,437.321,437.321,0.0,66.20192857142852
2022-07-12,15.059426307678223,15.407903930924364,14.854733210647337,15.245147788988149,458483000,458.483,458.483,458.483,458.483,0.0,57.19599999999996
2022-07-13,15.141303062438965,15.351987693110564,14.443349874690844,14.568162782764913,521918000,521.918,521.918,521.918,521.918,0.0,58.44464285714282
2022-07-14,15.348993301391602,15.449841972567967,14.705957087976035,15.085388476832787,456235000,456.235,456.235,456.235,456.235,0.0,61.24021428571424
2022-07-15,15.738409042358398,15.758378613118879,15.421883108868688,15.635563515161598,385935000,385.935,385.935,385.935,385.935,0.0,65.65642857142852
2022-07-18,16.07689666748047,16.871704584751885,15.978045845383832,16.27759598418415,670517000,670.517,670.517,670.517,670.517,0.0,82.82764285714282
2022-07-19,16.966564178466797,17.084387567268557,16.14779199309684,16.461321123877536,702366000,702.366,702.366,702.366,702.366,0.0,82.73249999999996
2022-07-20,17.780349731445312,17.90616251924096,16.775856670404433,16.92163807932355,760538000,760.538,760.538,760.538,760.538,0.0,85.37314285714282
2022-07-21,18.022985458374023,18.11684464007018,17.51874208354329,17.858233389080567,557049000,557.049,557.049,557.049,557.049,0.0,85.35678571428568
2022-07-22,17.29307746887207,17.94010636545341,17.11134877104996,17.86621772155527,536671000,536.671,536.671,536.671,536.671,0.0,79.06521428571423
2022-07-25,16.998519897460938,17.09837060572029,16.624081169858755,16.99352631457635,480748000,480.748,480.748,480.748,480.748,0.0,77.78921428571424
2022-07-26,16.508258819580078,16.893680839172077,16.453340823992903,16.863725049444284,397865000,397.865,397.865,397.865,397.865,0.0,74.97149999999995
2022-07-27,17.763376235961914,17.90915763959867,16.887687954750817,17.006509340230103,569776000,569.776,569.776,569.776,569.776,0.0,84.66778571428566
2022-07-28,17.957082748413086,18.1128494016185,17.413898228562946,17.948097346099534,474646000,474.646,474.646,474.646,474.646,0.0,89.68199999999993
2022-07-29,18.135818481445312,18.216696637168628,17.665522680604298,17.786341888952695,435460000,435.46,435.46,435.46,435.46,0.0,90.2916428571428
2022-08-01,18.413400650024414,18.81779520091153,17.9630754163842,18.154787499892723,476469000,476.469,476.469,476.469,476.469,0.0,91.70928571428567
2022-08-02,18.498275756835938,18.909659872779066,18.06492520279919,18.094880994785882,489527000,489.527,489.527,489.527,489.527,0.0,88.11092857142853
2022-08-03,18.864721298217773,18.939609802758543,18.109852333343436,18.156782869147662,418146000,418.146,418.146,418.146,418.146,0.0,88.51792857142853
2022-08-04,19.186243057250977,19.245154773313814,18.731924084681033,18.820791588477114,409652000,409.652,409.652,409.652,409.652,0.0,84.10321428571423
2022-08-05,18.96057891845703,19.200219474774293,18.638062407878817,18.781845979871633,386068000,386.068,386.068,386.068,386.068,0.0,65.46049999999994
2022-08-08,17.766366958618164,18.211700443423968,17.21619299789547,17.475804062122087,981859000,981.859,981.859,981.859,981.859,0.0,105.74207142857138
2022-08-09,17.060426712036133,17.4208864407512,16.69896902858045,17.226178614679633,668263000,668.263,668.263,668.263,668.263,0.0,123.9866428571428
2022-08-10,18.069913864135742,18.09088234146553,17.291080625113878,17.67151089037589,597422000,597.422,597.422,597.422,597.422,0.0,114.51178571428566
2022-08-11,17.91514778137207,18.679004192022955,17.849246570948857,18.103866009330527,509327000,509.327,509.327,509.327,509.327,0.0,119.34871428571424
2022-08-12,18.680992126464844,18.689979430433237,17.926123345892634,18.132814196725814,478094000,478.094,478.094,478.094,478.094,0.0,117.58514285714281
2022-08-15,19.00351333618164,19.135315733971453,18.58514175659498,18.67300938695692,457666000,457.666,457.666,457.666,457.666,0.0,113.12407142857138
2022-08-16,18.850744247436523,19.11335111314313,18.473309726284572,18.891683249998234,451240000,451.24,451.24,451.24,451.24,0.0,101.30371428571425
2022-08-17,18.30755615234375,18.660028439075308,18.117841906309852,18.495276393362314,446799000,446.799,446.799,446.799,446.799,0.0,94.82592857142853
2022-08-18,18.74490737915039,18.836768758763547,18.15579014741058,18.273613593758544,415447000,415.447,415.447,415.447,415.447,0.0,94.2663571428571
2022-08-19,17.82228660583496,18.49228185814888,17.743404371604452,18.378452160239146,441588000,441.588,441.588,441.588,441.588,0.0,93.2043571428571
2022-08-22,17.008506774902344,17.531722707583775,16.94060775357587,17.463823686257303,409593000,409.593,409.593,409.593,409.593,0.0,94.55699999999997
2022-08-23,17.15528678894043,17.43886215261442,16.944602128257042,16.96357469855967,369986000,369.986,369.986,369.986,369.986,0.0,92.28742857142853
2022-08-24,17.19622802734375,17.379952693294136,16.869717706102044,16.986541294343475,522661000,522.661,522.661,522.661,522.661,0.0,102.58607142857139
2022-08-25,17.88619041442871,17.920139924082378,16.807806884713354,16.818790101485074,770691000,770.691,770.691,770.691,770.691,0.0,118.61792857142852
2022-08-26,16.235660552978516,17.89716926118934,16.21269426570432,17.830270117555493,769127000,769.127,769.127,769.127,769.127,0.0,76.17314285714282
2022-08-29,15.777350425720215,16.313546405492897,15.743401869330192,15.996023465490442,496132000,496.132,496.132,496.132,496.132,0.0,73.27307142857138
2022-08-30,15.444849014282227,16.01499352907147,15.159276827252066,15.936112250558743,530181000,530.181,530.181,530.181,530.181,0.0,70.6450714285714
2022-08-31,15.071409225463867,15.516741812619589,14.936611046484066,15.36097515498697,573710000,573.71,573.71,573.71,573.71,0.0,67.46178571428568
2022-09-01,13.916141510009766,14.358478335570249,13.25013995615082,14.187733782213392,1178865000,1178.865,1178.865,1178.865,1178.865,0.0,108.45621428571425
2022-09-02,13.626574516296387,14.149789448130205,13.570657624383497,14.078896568766249,743157000,743.157,743.157,743.157,743.157,0.0,138.1190714285714
2022-09-06,13.44484806060791,13.758378249021042,13.331018356208773,13.710449751958874,535751000,535.751,535.751,535.751,535.751,0.0,152.47478571428567
2022-09-07,13.697543144226074,13.821394894652745,13.329984708493885,13.54672431921064,512657000,512.657,512.657,512.657,512.657,0.0,153.8071428571428
2022-09-08,13.973210334777832,13.991189334928276,13.352956261508266,13.442847452141244,624873000,624.873,624.873,624.873,624.873,0.0,159.5831428571428
2022-09-09,14.369736671447754,14.45663217073669,14.109050173580943,14.140012160343346,486612000,486.612,486.612,486.612,486.612,0.0,167.59171428571423
2022-09-12,14.487595558166504,14.529544979461525,14.180963767581938,14.351759064678815,484159000,484.159,484.159,484.159,484.159,0.0,165.48157142857139
2022-09-13,13.115242004394531,13.90529314840451,13.083280816767804,13.78543726600946,714956000,714.956,714.956,714.956,714.956,0.0,179.13799999999995
2022-09-14,13.112247467041016,13.274052779821835,12.897505301404209,13.238095726138331,588507000,588.507,588.507,588.507,588.507,0.0,177.26471428571426
